column,missing_count,missing_pct,dtype
TaxYear,70346,99.89,float64
TaxAnnualAmount,69896,99.25,float64
BuildingAreaTotal,58850,83.56,float64
ClosePrice,55984,79.49,float64
BuyerOfficeName,54808,77.82,object
BuyerAgentFirstName,54702,77.67,object
BuyerAgentLastName,54659,77.61,object
CloseDate,54142,76.88,datetime64[ns]
SubdivisionName,46905,66.6,object
Stories,18527,26.31,float64
Levels,13720,19.48,object
GarageSpaces,13703,19.46,float64
FireplaceYN,10611,15.07,object
NewConstructionYN,9528,13.53,object
LivingArea,9151,12.99,float64
BedroomsTotal,8933,12.68,float64
PropertySubType,8848,12.56,object
MLSAreaMajor,7809,11.09,object
LotSizeAcres,6266,8.9,float64
LotSizeSquareFeet,6047,8.59,float64
BathroomsTotalInteger,6043,8.58,float64
LotSizeArea,5950,8.45,float64
YearBuilt,5920,8.41,float64
ParkingTotal,4459,6.33,float64
Latitude,1058,1.5,float64
Longitude,1031,1.46,float64
ContractStatusChangeDate,706,1.0,datetime64[ns]
ListAgentFirstName,370,0.53,object
OriginalListPrice,260,0.37,float64
UnparsedAddress,179,0.25,object
ListPrice,159,0.23,float64
ListAgentFullName,45,0.06,object
City,30,0.04,object
StateOrProvince,19,0.03,object
PostalCode,12,0.02,object
ListAgentLastName,1,0.0,object
CountyOrParish,0,0.0,object
DaysOnMarket,0,0.0,int64
ListOfficeName,0,0.0,object
ListingContractDate,0,0.0,datetime64[ns]
ListingId,0,0.0,object
ListingKey,0,0.0,int64
ListingKeyNumeric,0,0.0,int64
MlsStatus,0,0.0,object
PropertyType,0,0.0,object
SourceMonth,0,0.0,object
implausible_coord_flag,0,0.0,bool
invalid_bathrooms_flag,0,0.0,bool
invalid_bedrooms_flag,0,0.0,bool
invalid_closeprice_flag,0,0.0,bool
invalid_dom_flag,0,0.0,bool
invalid_listprice_flag,0,0.0,bool
invalid_livingarea_flag,0,0.0,bool
invalid_original_listprice_flag,0,0.0,bool
listing_after_close_flag,0,0.0,bool
missing_coord_flag,0,0.0,bool
positive_longitude_flag,0,0.0,bool
zero_coord_flag,0,0.0,bool
